,text,truth,tfidf_lr,tfidf_nb,freq_lr,freq_nb
0,"['[CLS]', 'obama', 'sworn', 'office', ',', 'use', 'holy', 'bible', ',', 'instead', 'ku', '##ran', '(', 'e', '##qui', '##vale', '##ncy', 'bible', ',', 'different', 'beliefs', ')', '.']",pants-fire,pants-fire,pants-fire,pants-fire,pants-fire
1,"['[CLS]', 'says', 'organizations', 'para', '##ding', 'social', 'welfare', 'organizations', 'involved', 'political', 'combat', 'ha', '##rke', '##ns', 'back', 'statute', 'hundred', 'years', 'ago', 'said', 'prohibited', '.']",false,true,true,true,true
2,"['[CLS]', 'says', 'nearly', 'half', 'oregon', '##s', 'children', 'poor', '.']",half-true,true,mostly-true,true,mostly-true
3,"['[CLS]', 'attacks', 'republicans', 'various', 'programs', 'economic', 'stimulus', 'plan', 'st', '##im', '##ula', '##tive', ',', '""', 'add', 'stuff', ',', 'accounts', 'less', '1', 'percent', 'overall', 'package', '.', '""']",half-true,barely-true,half-true,barely-true,half-true
4,"['[CLS]', 'says', 'armed', 'civilians', 'stop', 'mass', 'shooting', '##s', 'guns', ',', 'average', '2', '.', '5', 'people', 'die', ';', 'otherwise', ',', 'average', '18', 'people', 'die', '.']",false,barely-true,half-true,barely-true,half-true
5,"['[CLS]', 'says', 'tennessee', 'providing', 'millions', 'dollars', 'virtual', 'school', 'company', 'results', 'bottom', 'bottom', '.']",true,half-true,mostly-true,half-true,mostly-true
6,"['[CLS]', 'health', 'care', 'reform', 'plan', 'would', 'set', 'limits', 'similar', 'social', '##ized', 'system', 'britain', ',', 'people', 'allowed', 'die', 'treatment', 'would', 'cost', '$', '22', ',', '000', '.']",false,barely-true,barely-true,barely-true,barely-true
7,"['[CLS]', 'says', 'donald', 'trump', 'started', 'career', 'back', '1973', 'sued', 'justice', 'department', 'racial', 'discrimination', 'would', 'rent', 'apartments', 'one', 'developments', 'african', '-', 'americans', '.']",true,mostly-true,mostly-true,mostly-true,mostly-true
8,"['[CLS]', 'bill', 'white', 'long', 'history', 'trying', 'limit', 'even', 'di', '##sen', '##fra', '##nch', '##ise', 'military', 'voters', '.']",half-true,mostly-true,mostly-true,mostly-true,mostly-true
9,"['[CLS]', 'john', 'mccain', '##s', 'chief', 'economic', 'adviser', '08', 'race', 'estimated', 'trump', '##s', 'promises', 'would', 'cause', 'america', 'lose', '3', '.', '5', 'million', 'jobs', '.']",half-true,barely-true,mostly-true,barely-true,mostly-true
10,"['[CLS]', 'says', '21', ',', '000', 'wisconsin', 'residents', 'got', 'jobs', '2011', ',', '18', ',', '000', 'states', '.']",false,mostly-true,half-true,half-true,half-true
11,"['[CLS]', 'state', 'revenue', 'projections', 'missed', 'mark', 'month', 'month', '.']",half-true,barely-true,mostly-true,mostly-true,mostly-true
12,"['[CLS]', 'median', 'income', 'middle', 'class', 'family', 'went', '$', '2', ',', '100', '2001', '2007', '.']",true,barely-true,mostly-true,false,mostly-true
13,"['[CLS]', 'every', 'citizen', 'entitled', 'freedom', 'speech', ',', 'one', 'right', 'use', 'government', 'funds', 'institutions', 'portray', 'acts', 'morally', 'rep', '##re', '##hen', '##sible', 'vast', 'majority', 'americans', '.']",barely-true,half-true,half-true,half-true,half-true
14,"['[CLS]', 'rick', 'perry', 'advocated', 'abandoning', 'social', 'security', ',', 'sc', '##ut', '##tling', 'med', '##ica', '##id', 'ending', 'federal', 'income', 'tax', '.']",half-true,false,false,barely-true,false
15,"['[CLS]', 'two', 'thirds', 'three', 'quarters', 'people', 'without', '[', 'health', ']', 'insurance', 'rhode', 'island', 'work', '.']",half-true,half-true,half-true,half-true,half-true
